study,dv,term,study_factor,dv_name,coef_name,original_entry,mt_entry,gfk_entry,study_print
concealed_carry,dv_gun_s,Z_gunrights,Haider-Markel and Joslyn (2001),Support for Concealed Carry Law,Citizens’ rights frame,0.33 (0.08)*,0.21 (0.05)*,NA,Haider-Markel and Joslyn (2001)
immigration,brader_neg_impact_s,Z_brader_pos_negpositive,Brader (2005),Negative impact,Positive frame,-0.28 (0.13)*,-0.22 (0.04)*,NA,Brader (2005)
immigration,brader_num_imm_s,Z_brader_pos_negpositive,Brader (2005),Support for immigration,Positive frame,0.39 (0.14)*,0.26 (0.05)*,NA,NA
death_penalty,CP_dv_s,Z_CP_3race,Peffley and Hurwitz (2007),Favor death penalty,African Americans,0.42 (0.09)*,0.10 (0.05)*,NA,Peffley and Hurwitz (2007)
superordinate_id,willing_s,Z_identityOther Americans,Transue (2007),Willingness to pay tax,Other Americans,0.18 (0.10),-0.08 (0.10),NA,Transue (2007)
superordinate_id,willing_s,Z_particularismPublic Schools,Transue (2007),Willingness to pay tax,Public schools,0.16 (0.10),0.19 (0.09)*,NA,NA
patriot_act,PA_support_s,T1_condition_nameSC_MB,Chong and Druckman (2010),Patriot Act Support,Con/memory based,-0.38 (0.12)*,-0.18 (0.11),NA,Chong and Druckman (2010)
patriot_act,PA_support_s,T1_condition_nameSC_NO,Chong and Druckman (2010),Patriot Act Support,Con/no processing,-0.41 (0.13)*,-0.39 (0.11)*,NA,NA
patriot_act,PA_support_s,T1_condition_nameSC_OL,Chong and Druckman (2010),Patriot Act Support,Con/online processing,-0.45 (0.12)*,-0.40 (0.11)*,NA,NA
patriot_act,PA_support_s,T1_condition_nameSP_MB,Chong and Druckman (2010),Patriot Act Support,Pro/memory based,0.33 (0.12)*,0.20 (0.11),NA,NA
patriot_act,PA_support_s,T1_condition_nameSP_NO,Chong and Druckman (2010),Patriot Act Support,Pro/no processing,0.43 (0.12)*,0.32 (0.11)*,NA,NA
patriot_act,PA_support_s,T1_condition_nameSP_OL,Chong and Druckman (2010),Patriot Act Support,Pro/online processing,0.33 (0.12)*,0.27 (0.11)*,NA,NA
